City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bethel,41.3712,-73.414,1.97,83,75,2.57,US,1701994975
83,brookings,44.3114,-96.7984,9.0,62,0,7.2,US,1701994190
84,albany,42.6001,-73.9662,-1.7,88,87,0.48,US,1701994976
85,tangalle,6.024,80.7911,24.6,91,21,1.11,LK,1701994976
86,waingapu,-9.6567,120.2641,28.51,74,95,0.96,ID,1701994508
87,afaahiti,-17.75,-149.2833,23.93,84,100,9.67,PF,1701994512
88,leava,-14.3,-178.1667,28.32,77,86,5.83,WF,1701994977
89,carnarvon,-24.8667,113.6333,22.35,63,0,10.02,AU,1701994460
90,edinburgh of the seven seas,-37.0676,-12.3116,14.92,84,99,6.89,SH,1701994978
91,saudarkrokur,65.7461,-19.6394,-7.15,79,40,3.23,IS,1701994979
92,east london,-33.0153,27.9116,21.3,88,24,3.22,ZA,1701994979
93,atafu village,-8.5421,-172.5159,29.36,71,61,2.19,TK,1701994979
94,dese,11.1333,39.6333,9.65,64,23,0.17,ET,1701994980
95,arkalyk,50.2486,66.9114,-20.12,66,3,5.46,KZ,1701994980
96,tralee,52.2704,-9.7026,9.55,84,84,7.46,IE,1701994521
97,iqaluit,63.7506,-68.5145,-11.15,79,75,4.63,CA,1701994685
98,touros,-5.1989,-35.4608,26.71,76,66,6.1,BR,1701994537
99,cidreira,-30.1811,-50.2056,20.67,88,100,7.84,BR,1701994601
100,ciudad lazaro cardenas,17.9583,-102.2,26.6,74,17,1.23,MX,1701994982
101,atuntaqui,0.3333,-78.2167,13.76,89,85,1.6,EC,1701994983
102,kapuskasing,49.4169,-82.4331,-0.95,93,100,2.57,CA,1701994885
103,anadyr,64.75,177.4833,-20.72,84,20,13.0,RU,1701994493
104,adelebsen,51.5833,9.75,-0.71,90,100,1.68,DE,1701994984
105,marsh harbour,26.5412,-77.0636,21.53,56,74,4.77,BS,1701994984
106,jayapura,-2.5333,140.7,29.66,77,100,2.79,ID,1701994985
107,ulsteinvik,62.3432,5.8487,1.53,73,3,2.68,NO,1701994985
108,zaterechnyy,44.7931,45.2097,2.63,95,100,7.64,RU,1701994986
109,mandvi,22.8333,69.3667,20.62,52,0,4.04,IN,1701994986
110,kapa'a,22.0752,-159.319,27.49,69,0,4.12,US,1701994471
111,maasim,5.8575,125.0061,28.94,73,37,3.95,PH,1701994987
112,susuman,62.7833,148.1667,-28.9,97,100,0.89,RU,1701994475
113,baliton,5.7436,125.2364,28.89,72,49,1.85,PH,1701994988
114,prades,42.5833,2.1667,2.82,87,100,0.64,FR,1701994989
115,robore,-18.3333,-59.75,27.0,60,76,1.22,BO,1701994989
116,nar'yan-mar,67.6713,53.087,-14.38,96,100,3.58,RU,1701994990
117,mayahi,13.9553,7.6712,19.96,19,99,4.09,NE,1701994990
118,ribeira grande,38.5167,-28.7,19.32,96,100,9.83,PT,1701994461
119,kijang,35.2442,129.2139,3.85,76,2,3.88,KR,1701994991
120,chibougamau,49.9168,-74.3659,-21.21,77,0,0.0,CA,1701994455
121,santa rosalia,27.3167,-112.2833,23.1,38,0,0.11,MX,1701994491
122,port elizabeth,-33.918,25.5701,18.16,94,0,7.72,ZA,1701994993
123,vilyuchinsk,52.9306,158.4028,-5.85,82,100,1.27,RU,1701994458
124,tazovsky,67.4667,78.7,-27.29,96,64,5.49,RU,1701994908
125,ambovombe,-25.1667,46.0833,21.24,87,30,6.1,MG,1701994994
126,luanco,43.6152,-5.7934,11.83,85,92,6.91,ES,1701994995
127,cabo san lucas,22.8909,-109.9124,27.64,50,0,4.12,MX,1701994953
128,hami,42.8,93.45,-1.43,57,59,3.13,CN,1701994996
